sr_code,name,email,password,birthdate,gender,civil_status,scholar,working_student,activities,transportation,accommodation,characteristics,interest,subjects_enrolled,year_started,year_level,target_gwa,learning_style,attended_seminars
19-02683,Marcella Duval,19-02683@g.batstate-u.edu.ph,I0G9.m84,1999-01-20,Female,Single,False,False,False,Bus,With Family,"Responsible, Witty, Ambitious, Obedient, Careful, Alert","Art, Yoga, Reading Books","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Visual, Read/Write, Kinaesthetic / Hands-on, Intuitive",2
20-45048,Kevin Stone,20-45048@g.batstate-u.edu.ph,V%e3u1^_ag,2002-03-18,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Confident, Self-Disciplined, Diligent, Witty","Volunteering, Sports, Games, Music","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Visual, Auditory, Intuitive",9
21-49576,Wayne Campbell,21-49576@g.batstate-u.edu.ph,v?t%6^9Z,2003-06-07,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Witty, Analytical, Ambitious, Adaptable","Music, Food, Reading Books, Programming","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Intuitive, Visual, Read/Write, Logical / Patterns",9
19-49200,Derrick Stachura,19-49200@g.batstate-u.edu.ph,"u96yK?f$,_",1999-10-26,Male,Single,False,True,False,Private Car / Taxi,With Family,"Persistent, Consitent, Witty, Punctual, Responsible","Reading Books, Games, Travel, Art","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Kinaesthetic / Hands-on, Read/Write, Intuitive, Visual",7
20-48189,Melinda Fields,20-48189@g.batstate-u.edu.ph,"j-gOI,7Z",2002-06-26,Female,Single,False,False,False,Bus,Dormitory,"Creative, Cooperative, Ambitious, Diligent, Analytical, Alert","Reading Books, Sports, Dancing","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Social, Auditory, Intuitive, Logical / Patterns, Visual",1
20-37765,Lynda Bailey,20-37765@g.batstate-u.edu.ph,2-LKs5#c)a,2002-11-20,Female,Single,True,True,False,Private Car / Taxi,With Family,"Responsible, Analytical, Confident, Cooperative, Obedient, Careful","Photography, Reading Books, Art, Travel","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Auditory, Read/Write",0
19-59102,Walter Gilmore,19-59102@g.batstate-u.edu.ph,--rk&RbL1,2000-08-14,Male,Single,True,True,False,Private Car / Taxi,With Family,"Witty, Confident, Adventurous, Self-Disciplined","Games, Dancing","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.25,"Intuitive, Social",8
22-70811,Edith Berry,22-70811@g.batstate-u.edu.ph,"m)<,m<J1",2002-10-29,Female,Single,False,False,False,Bus,With Family,"Adaptable, Honest, Confident, Obedient","Volunteering, Dancing, Programming, Art","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Read/Write, Intuitive, Social",6
19-57480,Pauline Bond,19-57480@g.batstate-u.edu.ph,%EWydj=7,2001-12-02,Female,Single,False,False,False,Private Car / Taxi,With Family,"Adaptable, Persistent, Creative, Diligent, Consitent","Reading Books, Travel, Volunteering","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.5,"Auditory, Read/Write, Visual, Logical / Patterns, Social, Kinaesthetic / Hands-on",1
21-92047,Paul Johnson,21-92047@g.batstate-u.edu.ph,pg3Kl<gdOr,2003-06-11,Male,Single,False,False,False,Bus,With Family,"Honest, Punctual, Persistent, Careful, Cooperative, Adventurous","Food, Photography, Travel","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Logical / Patterns, Intuitive",0
19-46036,Nicole Siegel,19-46036@g.batstate-u.edu.ph,FnB5_WxAu),2000-09-29,Female,Single,False,False,False,Private Car / Taxi,Apartment,"Consitent, Cooperative, Persistent, Analytical","Food, Art","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Intuitive, Kinaesthetic / Hands-on, Read/Write, Logical / Patterns",0
19-19697,Thelma Gonzales,19-19697@g.batstate-u.edu.ph,#4Uc1cJb,2001-11-09,Female,Single,True,False,False,Bus,Dormitory,"Persistent, Diligent, Adventurous, Honest, Creative","Games, Sports, Travel, Dancing","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Auditory, Logical / Patterns",10
21-93846,Dan Mason,21-93846@g.batstate-u.edu.ph,D8w(Xc)5b,2002-07-27,Male,Single,False,False,False,Bus,Apartment,"Alert, Honest, Adventurous","Art, Reading Books","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.5,"Read/Write, Intuitive, Kinaesthetic / Hands-on, Visual, Logical / Patterns",1
22-47889,Connie Hale,22-47889@g.batstate-u.edu.ph,P9y<9AoBd,2003-02-01,Female,Single,False,True,False,Bus,Dormitory,"Analytical, Diligent, Ambitious, Adventurous","Volunteering, Dancing, Music, Reading Books","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Social, Visual, Intuitive, Logical / Patterns, Read/Write, Kinaesthetic / Hands-on",7
20-05541,Laura Good,20-05541@g.batstate-u.edu.ph,b<4CR9WS,2000-04-22,Female,Single,True,False,False,Bus,With Family,"Cooperative, Careful, Analytical, Adaptable, Ambitious, Honest","Travel, Dancing","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Auditory, Social",1
19-73782,Maxwell Alvis,19-73782@g.batstate-u.edu.ph,?C*V4Q-s>n,1999-08-18,Male,Single,False,False,False,Bicycle,Apartment,"Responsible, Self-Disciplined, Adaptable, Punctual, Persistent","Art, Games, Volunteering","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Kinaesthetic / Hands-on, Read/Write, Social, Visual, Logical / Patterns",7
19-41838,Theresa Cross,19-41838@g.batstate-u.edu.ph,G<=9wAP(,2001-11-12,Female,Married,True,False,False,Private Car / Taxi,With Family,"Punctual, Ambitious, Consitent, Cooperative, Honest","Art, Games, Food, Music","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.25,"Logical / Patterns, Auditory",5
22-36770,Orval Martinez,22-36770@g.batstate-u.edu.ph,6H%02>=x,2003-05-22,Male,Single,False,False,False,Bus,With Family,"Adventurous, Obedient, Analytical, Alert, Confident, Creative","Volunteering, Art, Reading Books","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Read/Write, Intuitive",8
19-99528,Carl Fletcher,19-99528@g.batstate-u.edu.ph,W9!+0kwZ,1999-04-10,Male,Single,True,False,True,Bus,Dormitory,"Self-Disciplined, Obedient, Diligent, Punctual","Music, Programming, Dancing, Games","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Social, Auditory, Logical / Patterns, Intuitive",7
19-33012,Allen Vahey,19-33012@g.batstate-u.edu.ph,*!rAua-y3k,2000-02-25,Male,Single,True,True,True,Bus,With Family,"Consitent, Confident, Witty, Self-Disciplined, Adaptable, Responsible","Art, Dancing, Yoga","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Auditory, Social, Read/Write, Logical / Patterns, Visual",9
19-76293,Mark Harper,19-76293@g.batstate-u.edu.ph,sv2hmX8sV+,2000-04-05,Male,Single,False,False,False,Bus,Other,"Confident, Witty, Diligent, Cooperative","Programming, Photography, Sports","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Logical / Patterns, Social, Intuitive",7
21-17149,Rudolph Howard,21-17149@g.batstate-u.edu.ph,"#0fnP,VgOC",2001-07-19,Male,Single,True,False,False,Bus,Apartment,"Adventurous, Analytical, Creative","Programming, Music","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.5,"Read/Write, Visual, Auditory, Logical / Patterns, Kinaesthetic / Hands-on",2
22-40413,Danny Stone,22-40413@g.batstate-u.edu.ph,$83oZ0PG-j,2002-12-19,Male,Single,False,False,True,Private Car / Taxi,Dormitory,"Adventurous, Cooperative, Ambitious, Obedient, Persistent, Creative","Food, Art, Games, Reading Books","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.25,"Kinaesthetic / Hands-on, Social, Auditory, Visual",10
20-18545,Robert Diaz,20-18545@g.batstate-u.edu.ph,Uvc.BW34,2002-08-18,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Witty, Self-Disciplined, Obedient, Responsible, Consitent","Games, Yoga","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Kinaesthetic / Hands-on, Read/Write, Auditory",9
22-58751,Ronald Lagnese,22-58751@g.batstate-u.edu.ph,Oi5S!w_6S,2002-07-13,Male,Single,False,True,False,Bus,Apartment,"Cooperative, Adaptable, Self-Disciplined, Obedient, Punctual, Witty","Programming, Volunteering","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Read/Write, Kinaesthetic / Hands-on, Social, Auditory",8
22-10892,Mike Malinoski,22-10892@g.batstate-u.edu.ph,Z2UkVa_OS,2003-03-25,Male,Single,False,False,False,Bus,With Family,"Honest, Ambitious, Analytical, Obedient, Responsible","Music, Volunteering","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Auditory, Logical / Patterns, Visual, Intuitive, Kinaesthetic / Hands-on, Read/Write",8
19-03821,Joey Callen,19-03821@g.batstate-u.edu.ph,.SJN1G3yg,2000-11-24,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Creative, Alert, Punctual, Diligent","Travel, Photography, Food, Dancing","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Intuitive, Visual, Kinaesthetic / Hands-on, Social, Logical / Patterns",7
19-99041,Tammy Steele,19-99041@g.batstate-u.edu.ph,#R4<hb-eiQ,2001-12-14,Female,Single,False,False,False,Bus,Apartment,"Creative, Self-Disciplined, Analytical, Persistent","Travel, Reading Books, Volunteering","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Intuitive, Social, Auditory, Kinaesthetic / Hands-on, Read/Write, Logical / Patterns",5
22-48327,Ashley Beall,22-48327@g.batstate-u.edu.ph,4i4SR&QIE4,2004-02-05,Female,Single,False,False,True,Private Car / Taxi,With Family,"Consitent, Alert, Cooperative, Punctual","Sports, Food, Reading Books","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Kinaesthetic / Hands-on, Read/Write",2
21-43499,Trevor Poulin,21-43499@g.batstate-u.edu.ph,)$iw4DLp,2001-10-12,Male,Single,False,False,False,Bus,With Family,"Alert, Cooperative, Careful, Creative","Food, Travel, Programming","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.25,"Kinaesthetic / Hands-on, Logical / Patterns, Read/Write, Visual, Auditory",0
20-55280,Valerie Hamby,20-55280@g.batstate-u.edu.ph,oShjE4x*L,2002-09-17,Female,Single,False,False,True,Private Car / Taxi,With Family,"Diligent, Careful, Cooperative","Food, Travel, Volunteering","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Logical / Patterns, Visual, Social",8
21-22165,Richard Lee,21-22165@g.batstate-u.edu.ph,$+A$a#6UG,2003-10-28,Male,Single,True,False,False,Bus,Apartment,"Cooperative, Consitent, Adventurous, Adaptable","Travel, Music, Photography","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Visual, Logical / Patterns, Read/Write, Kinaesthetic / Hands-on, Social",5
20-81295,Eric Morris,20-81295@g.batstate-u.edu.ph,8J7L*8>z,2002-02-27,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Cooperative, Witty, Careful, Adventurous, Ambitious","Music, Volunteering","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,2,"Visual, Intuitive, Kinaesthetic / Hands-on, Social, Logical / Patterns",3
20-05002,Leona Hasler,20-05002@g.batstate-u.edu.ph,wF_bo8(s<Z,2001-02-16,Female,Single,True,False,False,Private Car / Taxi,Dormitory,"Ambitious, Analytical, Obedient, Cooperative, Alert, Creative","Music, Games, Sports","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Intuitive, Logical / Patterns, Read/Write, Visual",5
22-53618,Jennifer Oliverio,22-53618@g.batstate-u.edu.ph,IWqB0=wL,2002-11-08,Female,Single,False,True,False,Private Car / Taxi,With Family,"Honest, Witty, Confident, Adaptable, Punctual","Art, Photography, Reading Books","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Social, Auditory, Intuitive, Visual, Kinaesthetic / Hands-on",2
19-94794,Greg Padilla,19-94794@g.batstate-u.edu.ph,q2?YTM5=,2000-07-15,Male,Single,False,False,True,Private Car / Taxi,Apartment,"Adventurous, Confident, Alert","Reading Books, Sports","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Visual, Read/Write, Kinaesthetic / Hands-on, Intuitive, Social",1
19-90273,Margarita Cavazos,19-90273@g.batstate-u.edu.ph,ruHmzbL_4,1999-06-06,Female,Single,True,False,False,Bus,With Family,"Self-Disciplined, Diligent, Honest, Adventurous, Consitent, Confident","Travel, Reading Books, Photography, Yoga","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.25,"Intuitive, Social",10
20-11386,Anthony Mccormick,20-11386@g.batstate-u.edu.ph,"5A8(,nRW",2002-07-11,Male,Single,False,False,True,Bus,Apartment,"Punctual, Diligent, Consitent","Art, Sports, Music, Travel","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Read/Write, Kinaesthetic / Hands-on, Auditory, Intuitive",3
21-16974,Edward Mcluen,21-16974@g.batstate-u.edu.ph,O-4^oulOJ,2003-10-28,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Cooperative, Witty, Creative, Responsible, Ambitious","Reading Books, Dancing","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Read/Write, Auditory, Kinaesthetic / Hands-on, Logical / Patterns",7
19-88857,Kevin Marien,19-88857@g.batstate-u.edu.ph,?JF%kOI1,2001-04-23,Male,Single,False,False,True,Private Car / Taxi,Apartment,"Diligent, Creative, Confident, Careful, Ambitious, Obedient","Music, Food","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Read/Write, Auditory, Intuitive, Logical / Patterns",6
19-86831,Linda Malley,19-86831@g.batstate-u.edu.ph,<.%jboH0S,1999-07-09,Female,Married,True,False,False,Private Car / Taxi,Other,"Analytical, Careful, Ambitious, Confident","Art, Sports, Games","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.5,"Social, Kinaesthetic / Hands-on",2
21-49911,Mary Howell,21-49911@g.batstate-u.edu.ph,AHr9gzo.,2001-07-01,Female,Single,True,False,False,Private Car / Taxi,With Family,"Honest, Confident, Responsible, Adventurous","Photography, Sports","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.5,"Kinaesthetic / Hands-on, Logical / Patterns, Read/Write, Social, Auditory",0
21-90510,Rachel Rice,21-90510@g.batstate-u.edu.ph,J)b5weLv,2002-10-25,Female,Single,False,False,False,Bus,Dormitory,"Punctual, Consitent, Confident, Obedient, Persistent","Sports, Music, Food, Photography","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Intuitive, Kinaesthetic / Hands-on, Logical / Patterns, Auditory, Read/Write",7
19-07680,Marina Ruiz,19-07680@g.batstate-u.edu.ph,#sa9SOgYw,2000-04-16,Female,Single,True,False,False,Bus,With Family,"Consitent, Alert, Creative, Obedient, Honest","Volunteering, Games, Dancing","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Logical / Patterns, Kinaesthetic / Hands-on, Auditory, Intuitive",8
22-20342,Chin Magana,22-20342@g.batstate-u.edu.ph,X(M8U5)e,2004-03-03,Female,Single,True,False,False,Private Car / Taxi,Apartment,"Self-Disciplined, Adventurous, Confident","Music, Sports","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Kinaesthetic / Hands-on, Logical / Patterns, Intuitive",7
20-78563,John Muir,20-78563@g.batstate-u.edu.ph,d!lwZTb7,2001-07-19,Male,Single,True,False,False,Private Car / Taxi,Apartment,"Honest, Adaptable, Witty","Yoga, Reading Books, Games","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Visual, Auditory, Read/Write",9
22-19109,Darlene Brand,22-19109@g.batstate-u.edu.ph,)2kHMGa21,2004-05-13,Female,Single,True,True,False,Private Car / Taxi,Apartment,"Persistent, Responsible, Careful","Sports, Food, Volunteering, Photography","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Social, Read/Write, Visual",2
20-10785,Sherita Lattimore,20-10785@g.batstate-u.edu.ph,NJ=Ho-4Wc,2001-05-09,Female,Single,False,True,False,Bus,With Family,"Persistent, Consitent, Cooperative, Adventurous","Reading Books, Music, Food","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Auditory, Visual, Social, Intuitive",8
22-99473,Opal Woodard,22-99473@g.batstate-u.edu.ph,"ck20A=p*b,",2004-06-25,Female,Single,False,False,True,Private Car / Taxi,Apartment,"Persistent, Witty, Confident, Diligent","Photography, Music, Games","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Visual, Read/Write, Kinaesthetic / Hands-on, Logical / Patterns",10
20-81233,Heide Johnson,20-81233@g.batstate-u.edu.ph,"i0,Og9T*Z",2002-01-15,Female,Single,False,False,False,Bus,Dormitory,"Consitent, Adventurous, Self-Disciplined","Sports, Travel","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Kinaesthetic / Hands-on, Social",8
22-26539,Jonathan Huynh,22-26539@g.batstate-u.edu.ph,*Ij59dFJg*,2004-04-28,Male,Single,True,False,False,Bus,Dormitory,"Self-Disciplined, Analytical, Consitent, Confident, Ambitious, Alert","Volunteering, Yoga, Music","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Auditory, Visual, Social, Read/Write",10
21-50040,Michael Fridley,21-50040@g.batstate-u.edu.ph,"9j$,P9!9c",2002-08-15,Male,Single,True,True,True,Bus,With Family,"Analytical, Careful, Responsible","Food, Yoga","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Kinaesthetic / Hands-on, Logical / Patterns, Read/Write, Auditory, Visual, Intuitive",1
22-10413,Mary Wallace,22-10413@g.batstate-u.edu.ph,#6LCNk)b>,2003-01-01,Female,Single,False,False,False,Bus,Apartment,"Responsible, Honest, Persistent, Self-Disciplined, Consitent, Confident","Dancing, Yoga, Sports, Food","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1,"Social, Read/Write, Logical / Patterns, Intuitive, Auditory",8
20-89210,Earlene Wood,20-89210@g.batstate-u.edu.ph,$Uyx5XR=N,2002-03-15,Female,Married,False,False,False,Bus,Apartment,"Honest, Diligent, Consitent, Careful","Dancing, Art, Travel, Food","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Logical / Patterns, Social, Read/Write",7
21-99521,Julius Haddad,21-99521@g.batstate-u.edu.ph,#xN8>te4,2001-02-20,Male,Single,False,True,False,Private Car / Taxi,Dormitory,"Adaptable, Diligent, Self-Disciplined, Careful, Persistent","Yoga, Games, Photography","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Intuitive, Social, Auditory, Logical / Patterns, Visual, Read/Write",3
21-73876,Rebecca Garcia,21-73876@g.batstate-u.edu.ph,kQ5-OZPk,2001-08-24,Female,Single,False,False,False,Private Car / Taxi,Apartment,"Alert, Diligent, Adaptable, Self-Disciplined","Reading Books, Travel, Music, Yoga","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Auditory, Intuitive",10
22-78002,Kathryn Gaines,22-78002@g.batstate-u.edu.ph,>wJ4iio6W*,2003-03-27,Female,Single,False,False,False,Bus,Dormitory,"Consitent, Diligent, Careful, Adaptable, Alert, Cooperative","Yoga, Dancing","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Auditory, Visual, Intuitive, Read/Write, Logical / Patterns",5
20-04276,Angela Vallo,20-04276@g.batstate-u.edu.ph,CBme.(^5c,2000-03-30,Female,Single,False,True,True,Bus,Dormitory,"Adventurous, Cooperative, Consitent, Self-Disciplined","Dancing, Yoga","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Kinaesthetic / Hands-on, Intuitive, Auditory, Logical / Patterns, Read/Write, Visual",1
22-85342,Chantel Earley,22-85342@g.batstate-u.edu.ph,?gn4OWP0=,2004-10-18,Female,Single,True,False,False,Private Car / Taxi,Apartment,"Confident, Alert, Adventurous, Careful, Cooperative","Food, Yoga, Games, Travel","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Kinaesthetic / Hands-on, Social, Logical / Patterns, Read/Write, Visual, Auditory",6
22-89718,Mary Hickman,22-89718@g.batstate-u.edu.ph,c1E^ggaJ,2004-01-04,Female,Single,True,False,False,Private Car / Taxi,With Family,"Confident, Careful, Punctual","Reading Books, Yoga","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Read/Write, Auditory",5
20-72871,Rodolfo Presley,20-72871@g.batstate-u.edu.ph,n1g%%Yd2h,2001-09-08,Male,Single,False,False,False,Bus,With Family,"Confident, Diligent, Self-Disciplined","Dancing, Food","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Social, Visual, Kinaesthetic / Hands-on, Auditory",6
22-84338,Eugenia Ross,22-84338@g.batstate-u.edu.ph,y^aWSwd+*7,2002-01-12,Female,Married,False,False,False,Bus,With Family,"Adaptable, Consitent, Careful, Analytical","Dancing, Sports, Photography","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Social, Read/Write, Intuitive",1
19-39732,Misty Diefenbach,19-39732@g.batstate-u.edu.ph,i6Z3V*&2&,2000-08-22,Female,Single,True,False,False,Bus,Dormitory,"Punctual, Persistent, Alert, Careful","Reading Books, Volunteering, Travel, Games","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Kinaesthetic / Hands-on, Auditory, Intuitive, Visual, Social, Logical / Patterns",4
22-72748,Antonio Hernandez,22-72748@g.batstate-u.edu.ph,4yM^c$k0,2002-01-25,Male,Single,False,False,False,Bus,Apartment,"Confident, Diligent, Persistent, Punctual, Honest","Dancing, Music, Games","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Social, Auditory, Kinaesthetic / Hands-on",5
19-27515,Mary Robertson,19-27515@g.batstate-u.edu.ph,K+Z2si7Xj,1999-07-23,Female,Married,False,False,False,Private Car / Taxi,Dormitory,"Creative, Confident, Punctual, Cooperative, Responsible, Witty","Reading Books, Sports","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.25,"Intuitive, Auditory, Read/Write, Logical / Patterns, Visual, Kinaesthetic / Hands-on",10
20-99995,Norman Henderson,20-99995@g.batstate-u.edu.ph,?9FcS$PULI,2002-12-13,Male,Single,False,True,False,Private Car / Taxi,With Family,"Creative, Confident, Alert","Games, Art, Reading Books, Photography","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Kinaesthetic / Hands-on, Read/Write, Auditory, Intuitive, Logical / Patterns, Social",8
21-50690,Jennifer Rominger,21-50690@g.batstate-u.edu.ph,Pb)D<5<.,2002-01-25,Female,Single,True,False,True,Private Car / Taxi,With Family,"Creative, Confident, Diligent, Responsible, Persistent, Punctual","Photography, Dancing, Volunteering","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Read/Write, Kinaesthetic / Hands-on, Intuitive, Auditory",2
20-00081,Leona Riddle,20-00081@g.batstate-u.edu.ph,t*4Sakee,2000-10-08,Female,Single,True,False,False,Private Car / Taxi,Dormitory,"Adaptable, Careful, Creative, Confident, Consitent, Cooperative","Travel, Reading Books","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Auditory, Read/Write",6
20-07661,Laura Shaffer,20-07661@g.batstate-u.edu.ph,)#OiVNP1dE,2001-04-10,Female,Single,True,True,False,Bus,With Family,"Obedient, Cooperative, Adventurous","Art, Music, Yoga","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Auditory, Intuitive, Logical / Patterns",10
19-91861,Lizette Flores,19-91861@g.batstate-u.edu.ph,k<(Hp3OG.S,2000-06-05,Female,Single,True,False,False,Bus,Dormitory,"Punctual, Creative, Alert","Travel, Dancing, Reading Books, Photography","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.5,"Logical / Patterns, Visual",8
22-95039,Helga Lay,22-95039@g.batstate-u.edu.ph,dvBd5*.HcN,2002-01-02,Female,Single,False,False,False,Bus,Dormitory,"Cooperative, Creative, Self-Disciplined, Punctual","Music, Volunteering","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Visual, Social, Auditory, Read/Write, Logical / Patterns",0
19-71346,Jason Poage,19-71346@g.batstate-u.edu.ph,gM1.(sS<,2001-02-08,Male,Single,False,False,True,Bus,With Family,"Cooperative, Adventurous, Persistent, Diligent, Obedient, Alert","Volunteering, Food","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Intuitive, Logical / Patterns, Kinaesthetic / Hands-on, Auditory, Visual, Social",9
21-80468,Gerald Johnson,21-80468@g.batstate-u.edu.ph,d$1Qd6Ba,2001-01-27,Male,Single,True,False,False,Private Car / Taxi,Apartment,"Creative, Witty, Ambitious, Confident","Volunteering, Music, Games","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.5,"Social, Logical / Patterns, Visual, Auditory, Kinaesthetic / Hands-on, Read/Write",5
22-24590,Kathy Molina,22-24590@g.batstate-u.edu.ph,6hq_Y0.7GD,2004-01-28,Female,Single,False,False,False,Private Car / Taxi,With Family,"Honest, Witty, Analytical, Alert, Creative, Responsible","Reading Books, Travel","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Read/Write, Intuitive, Kinaesthetic / Hands-on",6
